path,chapter_no,directory_role,keep_or_quarantine,reason,sha256,size,mtime,referenced_by
/root/hermes/company-ai-system/workspaces/xiaoshuo/enterprise-doctor/backups/chapters_before_pure_urban_correction_2026-05-03/chapter-001.md,1,backup,QUARANTINE,"non-canonical duplicate chapter/all_chapters path; isolate per xiaochan WARN, no hard delete",f76d357859fa045f544023bf99a36999613709a69d09b79b8a9cacd65f73eade,7626,2026-05-03 21:02:43,docs/chapter_028_050_optimization_sop.md;release/发布前操作清单_2026-05-08.md;release/fanqie_publish_50_chapters_20260508_204921/00_发布说明.md;release/fanqie_publish_50_chapters_质量返工版_20260508_205540/00_发布说明.md;release/正式发布稿_第1-50章_合规清理版_2026-05-08/00_质量自检.md;wiki/release/release-candidate-1-50-2026-05-09.md
/root/hermes/company-ai-system/workspaces/xiaoshuo/enterprise-doctor/backups/chapters_before_pure_urban_correction_2026-05-03/chapter-002.md,2,backup,QUARANTINE,"non-canonical duplicate chapter/all_chapters path; isolate per xiaochan WARN, no hard delete",39ef6b0f481089f15ee95eb95550042558b5f9225f3425cb51581939898f307d,8227,2026-05-03 21:02:44,release/正式发布稿_第1-50章_合规清理版_2026-05-08/00_质量自检.md
/root/hermes/company-ai-system/workspaces/xiaoshuo/enterprise-doctor/backups/chapters_before_pure_urban_correction_2026-05-03/chapter-003.md,3,backup,QUARANTINE,"non-canonical duplicate chapter/all_chapters path; isolate per xiaochan WARN, no hard delete",eb71e0a74e90cd038214d3c9acfa0f66680b036a196c442bb637b8226e0e8d3c,8181,2026-05-03 21:02:45,release/正式发布稿_第1-50章_合规清理版_2026-05-08/00_质量自检.md
/root/hermes/company-ai-system/workspaces/xiaoshuo/enterprise-doctor/backups/chapters_before_pure_urban_correction_2026-05-03/chapter-004.md,4,backup,QUARANTINE,"non-canonical duplicate chapter/all_chapters path; isolate per xiaochan WARN, no hard delete",46059bd2b15b42fc710048a881eb4a95c693210cba17ab0a7a662b3d0ebc31eb,9411,2026-05-03 21:02:45,release/正式发布稿_第1-50章_合规清理版_2026-05-08/00_质量自检.md
/root/hermes/company-ai-system/workspaces/xiaoshuo/enterprise-doctor/backups/chapters_before_pure_urban_correction_2026-05-03/chapter-005.md,5,backup,QUARANTINE,"non-canonical duplicate chapter/all_chapters path; isolate per xiaochan WARN, no hard delete",d2c8cb6d1826a1dbd07f393699722170ef5781977141431375b510d51a53476b,8026,2026-05-03 21:02:46,release/正式发布稿_第1-50章_合规清理版_2026-05-08/00_质量自检.md
/root/hermes/company-ai-system/workspaces/xiaoshuo/enterprise-doctor/backups/chapters_before_pure_urban_correction_2026-05-03/chapter-006.md,6,backup,QUARANTINE,"non-canonical duplicate chapter/all_chapters path; isolate per xiaochan WARN, no hard delete",d2d0ca01fccd557c307a36331fae516f80ac71224192a0909554a9623031dc2f,8425,2026-05-03 21:02:47,release/正式发布稿_第1-50章_合规清理版_2026-05-08/00_质量自检.md
/root/hermes/company-ai-system/workspaces/xiaoshuo/enterprise-doctor/backups/chapters_before_pure_urban_correction_2026-05-03/chapter-007.md,7,backup,QUARANTINE,"non-canonical duplicate chapter/all_chapters path; isolate per xiaochan WARN, no hard delete",de1fb0b4c91fb323de870ed1dda3caa0edf2e2e5c3430437b508d25fb84e485c,8753,2026-05-03 21:02:47,release/正式发布稿_第1-50章_合规清理版_2026-05-08/00_质量自检.md
/root/hermes/company-ai-system/workspaces/xiaoshuo/enterprise-doctor/backups/chapters_before_pure_urban_correction_2026-05-03/chapter-008.md,8,backup,QUARANTINE,"non-canonical duplicate chapter/all_chapters path; isolate per xiaochan WARN, no hard delete",a84707e1c7dad1291d85744e0acf9dc1016346b7ab6d2cef87a618bdd6f8edbf,8630,2026-05-03 21:02:48,release/正式发布稿_第1-50章_合规清理版_2026-05-08/00_质量自检.md
/root/hermes/company-ai-system/workspaces/xiaoshuo/enterprise-doctor/backups/chapters_before_pure_urban_correction_2026-05-03/chapter-009.md,9,backup,QUARANTINE,"non-canonical duplicate chapter/all_chapters path; isolate per xiaochan WARN, no hard delete",4afd73c5d8eda0402c13e4d8c38da9e0f788ace294b1257cdc6c46994a7947f5,9660,2026-05-03 21:02:49,release/最终发布候选稿_第1-50章_2026-05-09/00_质量自检.md;release/正式发布稿_第1-50章_合规清理版_2026-05-08/00_质量自检.md
/root/hermes/company-ai-system/workspaces/xiaoshuo/enterprise-doctor/backups/chapters_before_pure_urban_correction_2026-05-03/chapter-010.md,10,backup,QUARANTINE,"non-canonical duplicate chapter/all_chapters path; isolate per xiaochan WARN, no hard delete",7d451052714a6b022bbad11ef42b658aaaf8d1932709f9477894278a0f9b851b,7922,2026-05-03 21:02:49,release/最终发布候选稿_第1-50章_2026-05-09/00_质量自检.md;release/正式发布稿_第1-50章_合规清理版_2026-05-08/00_质量自检.md
